satisfaction_rating,How many unique items do you roughly grab while at the Pantry?,items_grabbed_ordinal
5.0,3-5 different items,2
5.0,1-2 different items,1
4.0,3-5 different items,2
4.0,6-10 different items,3
4.0,1-2 different items,1
5.0,1-2 different items,1
5.0,3-5 different items,2
5.0,3-5 different items,2
3.0,1-2 different items,1
4.0,3-5 different items,2
4.0,3-5 different items,2
4.0,1-2 different items,1
4.0,3-5 different items,2
4.0,3-5 different items,2
4.0,3-5 different items,2
5.0,3-5 different items,2
5.0,3-5 different items,2
3.0,3-5 different items,2
3.0,3-5 different items,2
4.0,1-2 different items,1
3.0,3-5 different items,2
3.0,3-5 different items,2
3.0,3-5 different items,2
